category|sku|extraction_time
half-price|88330|2023-07-08 11:01:31
half-price|810344|2023-07-08 11:01:31
half-price|294622|2023-07-08 11:01:31
half-price|270331|2023-07-08 11:01:31
half-price|272748|2023-07-08 11:01:31
half-price|463900|2023-07-08 11:01:31
half-price|157512|2023-07-08 11:01:31
half-price|165291|2023-07-08 11:01:31
half-price|815317|2023-07-08 11:01:31
half-price|211554|2023-07-08 11:01:31
half-price|227754|2023-07-08 11:01:31
half-price|213235|2023-07-08 11:01:31
half-price|105031|2023-07-08 11:01:31
half-price|495443|2023-07-08 11:01:31
half-price|878798|2023-07-08 11:01:31
half-price|672552|2023-07-08 11:01:31
half-price|203763|2023-07-08 11:01:31
half-price|749341|2023-07-08 11:01:31
half-price|152329|2023-07-08 11:01:31
half-price|203496|2023-07-08 11:01:31
half-price|239469|2023-07-08 11:01:31
half-price|197353|2023-07-08 11:01:31
half-price|422457|2023-07-08 11:01:31
half-price|365951|2023-07-08 11:01:31
half-price|78657|2023-07-08 11:01:31
half-price|154950|2023-07-08 11:01:31
half-price|932580|2023-07-08 11:01:31
half-price|83283|2023-07-08 11:01:31
half-price|205074|2023-07-08 11:01:31
half-price|103807|2023-07-08 11:01:31
half-price|57127|2023-07-08 11:01:31
half-price|79095|2023-07-08 11:01:31
half-price|276189|2023-07-08 11:01:31
half-price|171194|2023-07-08 11:01:31
half-price|637616|2023-07-08 11:01:31
half-price|206052|2023-07-08 11:01:31
half-price|429223|2023-07-08 11:01:31
half-price|222638|2023-07-08 11:01:31
half-price|174866|2023-07-08 11:01:31
half-price|567557|2023-07-08 11:01:31
half-price|83973|2023-07-08 11:01:31
half-price|276040|2023-07-08 11:01:31
half-price|122316|2023-07-08 11:01:31
half-price|820431|2023-07-08 11:01:31
half-price|248761|2023-07-08 11:01:31
half-price|258158|2023-07-08 11:01:31
half-price|205750|2023-07-08 11:01:31
half-price|152536|2023-07-08 11:01:31
half-price|264658|2023-07-08 11:01:31
half-price|197028|2023-07-08 11:01:31
half-price|365919|2023-07-08 11:01:31
half-price|798179|2023-07-08 11:01:31
half-price|176602|2023-07-08 11:01:31
half-price|62470|2023-07-08 11:01:31
half-price|173006|2023-07-08 11:01:31
half-price|301051|2023-07-08 11:01:31
